INST CODE,INSTITUTE NAME,PLACE,DIST,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC BOYS,SC GIRLS,ST BOYS,ST GIRLS,EWS GEN OU,EWS GIRLS OU,TUITION FEE,AFFILIATED,Year,Phase,TSEAMCET (BiPC) -2023 LAST RANK STATEMENT FINAL  PHASE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,TSEAMCET(BiPC)-2023 LAST RANK STATEMENT FIRST PHASE,TGEAPCET(Bi.P.C)-2024 LAST RANK STATEMENT FINAL PHASE,Unnamed,Unnamed_1,Unnamed_2,Unnamed_3,Unnamed_4,Unnamed_5,Unnamed_6,Unnamed_7,Unnamed_8,Unnamed_9,Unnamed_10,Unnamed_11,Unnamed_12,Unnamed_13,Unnamed_14,Unnamed_15,Unnamed_16,Unnamed_17,Unnamed_18,Unnamed_19,Unnamed_20,Unnamed_21,Unnamed_22,Unnamed_23,Unnamed_24,Unnamed_25,Unnamed_26,Unnamed_27,KUCP,K U COLLEGE OF PHARMACEUTICAL SCIENCES,WARANGAL,HNK,UNIV,1974,PHB,B. PHARMACY,11340,11340_1,14541,19635,17389,17389_1,11340_2,11340_3,14218,14218_1,25480,32025,24433,24433_1,21798,21798_1,27674,27674_1,45000,KU,TRNP,TRINITY COLLEGE OF PHARMACY,PEDDAPALLY,PDL,PVT,2004,50833,50833_1,72360,72360_1,71057,71057_1,50833_2,50833_3,67548,67548_1,56408,56408_1,69400,69400_1,79373,79373_1,59417,59417_1,60000,SVHU,TGEAPCET (Bi.P.C)-2024 LAST RANK STATEMENT FIRST PHASE,20710,20710_1,17442,17442_1,25480_1,17443,17443_1,19479,19479_1,TRPM,TEEGALA RAMI REDDY COLL OF PHARMACY,MIRPET,RR,2006,PDB,PHARM - D (Bi.,15426,15426_1,28657,34237,24541,24541_1,15426_2,15426_3,22370,22370_1,19160,19160_1,22338,22338_1,25546,35913,18014,18898,68000,JNTUH,Inst Code,Institute Name,Place,Dist Code,Co Education,College Type,Year of Estab,Branch Code,Branch Name,Tuition Fee,Affiliated To
CARE,CARE COLL OF PHARMACY,OGLAPUR,WGL,COED,PVT,2005,PDB,PHARM - D (Bi.P.C. STREAM),13457,16045,31104,31104,21318,22450,13457,16045,17687,20012,13457,18606,24918,24918,22629,22629,34385,34385,75000,KU,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARE,CARE COLL OF PHARMACY,OGLAPUR,WGL,COED,PVT,2005,PHB,B. PHARMACY (Bi.P.C. STREAM),29161,29161,51246,53569,41588,42975,29161,36625,39000,39000,48778,48778,45455,45649,39051,39051,47949,47949,60000,KU,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBCP,CHILKUR BALAJI COLLEGE OF PHARMACY,CHILKUR,RR,COED,PVT,2007,PDB,PHARM - D (Bi.P.C. STREAM),9335,9335,18187,20589,15079,16372,9335,9335,11769,13639,9335,13083,15279,15279,12399,12399,13908,13908,68000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBCP,CHILKUR BALAJI COLLEGE OF PHARMACY,CHILKUR,RR,COED,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),18849,18849,25860,25860,23954,23954,41456,41456,24168,24658,25874,25874,32965,32965,21722,21722,28733,28733,35000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBIT,CHAITANYA BHARATHI INSTITUTE OF TECHNOLOGY,GANDIPET,RR,COED,PVT,1979,BTB,BIO-TECHNOLOGY (Bi.P.C. STREAM),1447,1447,4692,4692,2143,2143,3123,3123,1796,1796,1447,3455,4072,4072,1447,3642,4437,4437,140000,OU,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHTP,SREE CHAITANYA INST OF PHARM SCI,KARIMNAGAR,KRM,COED,PVT,2008,PDB,PHARM - D (Bi.P.C. STREAM),17084,17084,40358,40358,27670,27670,17084,17084,25697,25697,19192,19192,20626,20626,18305,18305,33665,33665,75000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHTP,SREE CHAITANYA INST OF PHARM SCI,KARIMNAGAR,KRM,COED,PVT,2008,PHB,B. PHARMACY (Bi.P.C. STREAM),30535,30535,45510,45510,35335,35335,30535,38503,37144,39382,33157,33157,38535,41722,35732,35732,62425,62425,45000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPH,CHAITANYA INST OF PHARM SCI,KAZIPET,HNK,COED,PVT,2007,PHB,B. PHARMACY (Bi.P.C. STREAM),26439,26439,53631,53631,37265,37817,26439,26439,37978,37978,35912,48365,44734,46049,41296,41716,58688,58688,55000,KU,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMRP,C M R COLL OF PHARMACY,KANDLAKOYA,MDL,COED,PVT,2005,PDB,PHARM - D (Bi.P.C. STREAM),4963,4963,8983,8983,4963,4963,4963,4963,5126,5126,4963,4963,10470,10470,4963,12182,9270,9270,100000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMRP,C M R COLL OF PHARMACY,KANDLAKOYA,MDL,COED,PVT,2005,PHB,B. PHARMACY (Bi.P.C. STREAM),10214,10214,19023,19023,15976,15976,19859,19859,13308,13308,11831,14238,15698,15856,15208,16575,15473,15473,90000,JNTUH,2022,FINALPHASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
